"","run_accession","submission_accession","study_abstract","study_description"
"103","SRR3131767","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"104","ERR1823512","ERA809223","Differently seeded but functionally identical anaerobic sequencing batch reactors were analysed using metagenomic and metaproteomic analyses","Differently seeded but functionally identical anaerobic sequencing batch reactors were analysed using metagenomic and metaproteomic analyses"
"105","SRR5665044","SRA573379","Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.",NA
"106","SRR7665002","SRA756589",NA,NA
"107","ERR532365","ERA318905",NA,NA
"108","SRR7166976","SRA704437",NA,NA
"109","SRR1449798","SRA146236","C.diff FMT",NA
"110","SRR7524160","SRA740133",NA,NA
"111","SRR1491378","SRA146236","C.diff FMT",NA
"112","SRR3132292","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
